04/08/22 (13:38:16) | ERROR: Input thread failed with exception: (5, 'Input/output error')
Traceback (most recent call last):
  File "/usr/bin/bpytop", line 954, in _get_key
    with Raw(sys.stdin):
  File "/usr/bin/bpytop", line 798, in __exit__
    termios.tcsetattr(self.stream, termios.TCSANOW, self.original_stty)
termios.error: (5, 'Input/output error')
07/08/22 (16:43:29) | INFO: New instance of bpytop version 1.0.68 started with pid 35549
07/08/22 (16:43:29) | INFO: Loglevel set to DEBUG
07/08/22 (16:43:29) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:43:29) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:43:29) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:43:29) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:43:29) | DEBUG: Collect and draw completed in 0.065840 seconds
07/08/22 (16:43:29) | DEBUG: Init completed in 0.120436 seconds
07/08/22 (16:43:33) | INFO: New instance of bpytop version 1.0.68 started with pid 35637
07/08/22 (16:43:33) | INFO: Loglevel set to DEBUG
07/08/22 (16:43:33) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:43:33) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:43:33) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:43:33) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:43:33) | DEBUG: Collect and draw completed in 0.059846 seconds
07/08/22 (16:43:33) | DEBUG: Init completed in 0.166225 seconds
07/08/22 (16:43:47) | INFO: New instance of bpytop version 1.0.68 started with pid 35871
07/08/22 (16:43:47) | INFO: Loglevel set to DEBUG
07/08/22 (16:43:47) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:43:47) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:43:47) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:43:47) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:43:47) | DEBUG: Collect and draw completed in 0.060781 seconds
07/08/22 (16:43:47) | DEBUG: Init completed in 0.157345 seconds
07/08/22 (16:45:12) | INFO: New instance of bpytop version 1.0.68 started with pid 37318
07/08/22 (16:45:12) | INFO: Loglevel set to DEBUG
07/08/22 (16:45:12) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:45:12) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:45:12) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:45:12) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:45:12) | DEBUG: Collect and draw completed in 0.073006 seconds
07/08/22 (16:45:12) | DEBUG: Init completed in 0.142353 seconds
07/08/22 (16:45:14) | INFO: New instance of bpytop version 1.0.68 started with pid 37374
07/08/22 (16:45:14) | INFO: Loglevel set to DEBUG
07/08/22 (16:45:14) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:45:14) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:45:14) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:45:14) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:45:14) | DEBUG: Collect and draw completed in 0.059311 seconds
07/08/22 (16:45:14) | DEBUG: Init completed in 0.126144 seconds
07/08/22 (16:46:10) | INFO: New instance of bpytop version 1.0.68 started with pid 38140
07/08/22 (16:46:10) | INFO: Loglevel set to DEBUG
07/08/22 (16:46:10) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:46:10) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:46:10) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:46:10) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:46:10) | DEBUG: Collect and draw completed in 0.062554 seconds
07/08/22 (16:46:10) | DEBUG: Init completed in 0.126151 seconds
07/08/22 (16:46:11) | INFO: New instance of bpytop version 1.0.68 started with pid 38183
07/08/22 (16:46:11) | INFO: Loglevel set to DEBUG
07/08/22 (16:46:11) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:46:11) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:46:11) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:46:11) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:46:11) | DEBUG: Collect and draw completed in 0.058951 seconds
07/08/22 (16:46:11) | DEBUG: Init completed in 0.146645 seconds
07/08/22 (16:46:22) | INFO: New instance of bpytop version 1.0.68 started with pid 38378
07/08/22 (16:46:22) | INFO: Loglevel set to DEBUG
07/08/22 (16:46:22) | DEBUG: Using psutil version 5.9.1
07/08/22 (16:46:22) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (16:46:22) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (16:46:22) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (16:46:22) | DEBUG: Collect and draw completed in 0.066485 seconds
07/08/22 (16:46:22) | DEBUG: Init completed in 0.140166 seconds
07/08/22 (18:55:29) | INFO: New instance of bpytop version 1.0.68 started with pid 5076
07/08/22 (18:55:29) | INFO: Loglevel set to DEBUG
07/08/22 (18:55:29) | DEBUG: Using psutil version 5.9.1
07/08/22 (18:55:29) | DEBUG: CMD: /usr/bin/bpytop
07/08/22 (18:55:29) | INFO: Config file version and bpytop version mismatch, will be recreated on exit!
07/08/22 (18:55:29) | DEBUG: new fstab_filter set : ['/boot/efi', '/']
07/08/22 (18:55:29) | DEBUG: Collect and draw completed in 0.050549 seconds
07/08/22 (18:55:29) | DEBUG: Init completed in 0.096053 seconds
